sample,event,species,type,lab,contamination,plastic-composite,length_mm,girth_mm,gapetosnout_mm,vmo_mm,hmo_mm,weight_g,gut_g,stomach_fullness_index,heart_g,liver_g,condition,total_plastic_particles,black,blue,red,yellow,colourless,fragment_film_bead,fibre_rod,length0-100um,length_101-200um,length_201-300,length_301-400um,length_401-500,length_501-5000,pvc,pet,pa,pe,pest,pest-mix,pma,pnma,eva,pur,pp,other
13NOG01,13,NOG,dig,Hardy301,conservative,composite,181,95,12.7,16.27,18.03,56.7,7.836,2,na,0.425,0.956196906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13NOG02,13,NOG,dig,Hardy301,original,plastic,222,134,15.4,22.32,23.56,143,13.411,3,0.2,0.852,1.307004594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13NOG02,13,NOG,dig,Hardy301,extreme,plastic,222,134,15.4,22.32,23.56,143,13.411,3,0.2,0.852,1.307004594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13NOG02,13,NOG,dig,Hardy301,conservative,plastic,222,134,15.4,22.32,23.56,143,13.411,3,0.2,0.852,1.307004594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13NOG02,13,NOG,dig,Hardy301,original,composite,222,134,15.4,22.32,23.56,143,13.411,3,0.2,0.852,1.307004594,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13NOG02,13,NOG,dig,Hardy301,extreme,composite,222,134,15.4,22.32,23.56,143,13.411,3,0.2,0.852,1.307004594,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13NOG02,13,NOG,dig,Hardy301,conservative,composite,222,134,15.4,22.32,23.56,143,13.411,3,0.2,0.852,1.307004594,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13NOG03,13,NOG,dig,Hardy301,original,plastic,240,129,16.05,23.79,25.25,129.2,10.662,2,0.1,0.275,0.934606481,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13NOG03,13,NOG,dig,Hardy301,extreme,plastic,240,129,16.05,23.79,25.25,129.2,10.662,2,0.1,0.275,0.934606481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13NOG03,13,NOG,dig,Hardy301,conservative,plastic,240,129,16.05,23.79,25.25,129.2,10.662,2,0.1,0.275,0.934606481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13NOG03,13,NOG,dig,Hardy301,original,composite,240,129,16.05,23.79,25.25,129.2,10.662,2,0.1,0.275,0.934606481,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13NOG03,13,NOG,dig,Hardy301,extreme,composite,240,129,16.05,23.79,25.25,129.2,10.662,2,0.1,0.275,0.934606481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13NOG03,13,NOG,dig,Hardy301,conservative,composite,240,129,16.05,23.79,25.25,129.2,10.662,2,0.1,0.275,0.934606481,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13NOG04,13,NOG,dig,Hardy301,original,plastic,247,147,17.01,26.56,28.41,193.7,15.516,2,0.177,1.222,1.285401377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13NOG04,13,NOG,dig,Hardy301,extreme,plastic,247,147,17.01,26.56,28.41,193.7,15.516,2,0.177,1.222,1.285401377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13NOG04,13,NOG,dig,Hardy301,conservative,plastic,247,147,17.01,26.56,28.41,193.7,15.516,2,0.177,1.222,1.285401377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13NOG04,13,NOG,dig,Hardy301,original,composite,247,147,17.01,26.56,28.41,193.7,15.516,2,0.177,1.222,1.285401377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13NOG04,13,NOG,dig,Hardy301,extreme,composite,247,147,17.01,26.56,28.41,193.7,15.516,2,0.177,1.222,1.285401377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13NOG04,13,NOG,dig,Hardy301,conservative,composite,247,147,17.01,26.56,28.41,193.7,15.516,2,0.177,1.222,1.285401377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13NOGPRO,13,NOG,pro,Hardy301,original,plastic,,,,,,,,,,,,2,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
13NOGPRO,13,NOG,pro,Hardy301,original,composite,,,,,,,,,,,,7,0,3,4,0,0,7,0,6,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2
26ANI01,26,ANI,dig,Both,original,plastic,211,95,28.88,19.44,25.33,72.4,5.558,3,0.695,1.498,0.770710366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26ANI01,26,ANI,dig,Both,extreme,plastic,211,95,28.88,19.44,25.33,72.4,5.558,3,0.695,1.498,0.770710366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
